Job_ID,Job_Title,Company,Company_Type,Industry,City,Location_Tier,Experience_Level,Job_Type,Work_Mode,Salary_LPA,Skills_Required,Education_Required,Openings,Applicants,Company_Rating,Date_Posted
IND2025019,Software Engineer,BSNL,PSU/Govt,FinTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Hybrid,16.1,"Algorithms, Python, System Design, Java",MBA,10,1115,3.4,2025-06-27
IND2025020,Java Developer,CRED,Indian Unicorn,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,On-Site,13.2,"Microservices, REST APIs, Maven, Hibernate, SQL",B.Tech/B.E.,2,56,4.2,2025-12-02
IND2025021,Backend Developer,CRED,Indian Unicorn,HealthTech,Chennai,Tier 1,Junior (1-3 yrs),Internship,On-Site,2.2,"Django, FastAPI, Node.js, PostgreSQL, Docker, MongoDB",M.Tech/M.E.,3,348,4.0,2025-12-04
IND2025022,Software Engineer,Byju's,Indian Unicorn,E-Commerce,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,21.8,"Git, System Design, C++, Algorithms, Python",BCA,2,232,4.0,2024-12-14
IND2025023,Node.js Developer,Lenskart,Startup,HealthTech,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,10.4,"REST APIs, Express.js, TypeScript, MongoDB, Node.js, JavaScript",B.Tech/B.E.,2,194,3.5,2025-03-18
IND2025024,Java Developer,Hasura,Startup,HealthTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.7,"Hibernate, REST APIs, Maven, Spring Boot, Microservices, SQL",MCA,2,104,4.0,2025-10-20
IND2025025,Node.js Developer,Khatabook,Startup,E-Commerce,Hyderabad,Tier 1,Junior (1-3 yrs),Internship,Hybrid,2.6,"REST APIs, Express.js, TypeScript",M.Tech/M.E.,3,350,4.2,2025-12-25
IND2025026,Computer Vision Engineer,BrowserStack,Startup,E-Commerce,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,11.2,"TensorFlow, YOLO, OpenCV, Deep Learning, PyTorch",MCA,3,189,3.5,2024-08-19
IND2025027,Node.js Developer,Wipro,MNC,FinTech,Pune,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,5.1,"Express.js, REST APIs, JavaScript",M.Tech/M.E.,15,379,4.2,2026-01-20
IND2025028,MLOps Engineer,Razorpay,Indian Unicorn,Banking & Finance,Hyderabad,Tier 1,Senior (6-10 yrs),Part-Time,Hybrid,55.4,"Airflow, Kubernetes, MLflow, CI/CD",M.Tech/M.E.,1,73,4.0,2025-10-11
IND2025029,DevOps Engineer,Cognizant,MNC,Information Technology,Remote,Remote,Lead (10+ yrs),Full-Time,Hybrid,43.0,"Jenkins, Docker, Ansible, AWS, Linux, CI/CD",M.Tech/M.E.,2,211,3.6,2025-09-09
IND2025030,Python Developer,Lenskart,Startup,FinTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,6.1,"AWS, Python, Django",BCA,5,481,3.4,2024-12-22
IND2025031,Product Manager,HCL Technologies,MNC,Banking & Finance,Delhi,Tier 1,Senior (6-10 yrs),Full-Time,Hybrid,28.0,"JIRA, Product Strategy, User Research, Roadmapping",B.Tech/B.E.,3,343,3.6,2025-04-16
IND2025032,Technical Lead,Deloitte,MNC,HealthTech,Remote,Remote,Fresher (0-1 yr),Internship,Remote,2.6,"Team Leadership, Code Review, Agile",B.Tech/B.E.,2,147,4.2,2024-08-10
IND2025033,Java Developer,Accenture,MNC,Logistics,Kochi,Tier 2,Mid (3-6 yrs),Full-Time,Hybrid,22.7,"Hibernate, SQL, Maven, Microservices, Spring Boot, Java",B.Tech/B.E.,1,83,4.1,2024-08-28
IND2025034,Data Engineer,Urban Company,Startup,FinTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,7.4,"Python, SQL, Spark, ETL, AWS",MBA,2,210,4.0,2025-07-22
IND2025035,Android Developer,Zoho,Indian Unicorn,EdTech,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,14.6,"Jetpack Compose, REST APIs, Android SDK, Java, Firebase",M.Tech/M.E.,2,125,4.0,2025-03-05
IND2025036,Frontend Developer,Leadsquared,Startup,Automobile,Jaipur,Tier 2,Junior (1-3 yrs),Full-Time,Hybrid,10.1,"React, JavaScript, TypeScript, Tailwind CSS, HTML/CSS",M.Tech/M.E.,2,204,3.1,2024-12-01
IND2025037,Data Analyst,Tech Mahindra,MNC,Information Technology,Kolkata,Tier 2,Mid (3-6 yrs),Internship,On-Site,1.1,"Tableau, Power BI, Excel, SQL, Python, Statistics",B.Tech/B.E.,2,79,3.9,2024-08-06
IND2025038,Data Analyst,Deloitte,MNC,HealthTech,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,58.9,"Data Visualization, Python, Tableau, Statistics",MCA,1,94,3.7,2025-08-28
IND2025039,Data Engineer,Google,MNC,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,17.5,"Python, Airflow, dbt, SQL",M.Tech/M.E.,1,62,4.0,2025-09-25
IND2025040,QA Engineer,Byju's,Indian Unicorn,Government/PSU,Delhi,Tier 1,Senior (6-10 yrs),Full-Time,Hybrid,36.2,"Manual Testing, Python, JIRA, Selenium",M.Tech/M.E.,1,107,3.9,2024-08-13
IND2025041,Java Developer,BEL,PSU/Govt,EdTech,Pune,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,6.8,"Hibernate, REST APIs, Microservices",M.Tech/M.E.,1,43,4.3,2026-02-09
IND2025042,Java Developer,Flipkart,Indian Unicorn,E-Commerce,Remote,Remote,Mid (3-6 yrs),Internship,On-Site,2.1,"Spring Boot, Maven, Hibernate, REST APIs, Java",M.Tech/M.E.,2,199,4.2,2025-07-24
IND2025043,Full Stack Developer,Lenskart,Startup,FinTech,Coimbatore,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,48.0,"React, Docker, PostgreSQL, MongoDB, AWS, REST APIs",B.Tech/B.E.,2,192,3.8,2024-12-10
IND2025044,Cloud Engineer,Tech Mahindra,MNC,Automobile,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,8.6,"Kubernetes, Azure, GCP, AWS",BCA,2,123,4.2,2025-12-18
IND2025045,Machine Learning Engineer,BSNL,PSU/Govt,E-Commerce,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,8.5,"PyTorch, Scikit-learn, TensorFlow, MLOps, Docker, Python",M.Tech/M.E.,5,556,3.6,2025-03-10
IND2025046,Python Developer,TCS,MNC,Gaming,Delhi,Tier 1,Senior (6-10 yrs),Full-Time,Hybrid,30.1,"FastAPI, AWS, PostgreSQL, REST APIs, Django, Docker",M.Tech/M.E.,20,1270,3.6,2024-12-11
IND2025047,React Developer,Razorpay,Indian Unicorn,Telecom,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,12.6,"JavaScript, Next.js, TypeScript",M.Tech/M.E.,10,826,3.8,2024-09-11
IND2025048,Cybersecurity Analyst,InMobi,Startup,HealthTech,Remote,Remote,Fresher (0-1 yr),Internship,On-Site,2.5,"SIEM, Ethical Hacking, Penetration Testing",B.Tech/B.E.,10,307,3.0,2025-10-13
IND2025049,Android Developer,BHEL,PSU/Govt,Information Technology,Coimbatore,Tier 2,Lead (10+ yrs),Internship,Hybrid,1.8,"Kotlin, Firebase, Android SDK, REST APIs, Java",B.Tech/B.E.,1,89,3.9,2025-08-16
IND2025050,Python Developer,Infosys,MNC,Information Technology,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,23.2,"REST APIs, FastAPI, Python, AWS, Django",M.Tech/M.E.,2,79,4.3,2026-04-25
IND2025051,Power BI Developer,IBM,MNC,E-Commerce,Kochi,Tier 2,Senior (6-10 yrs),Full-Time,On-Site,36.6,"Data Modeling, SQL, ETL, Power BI, Azure",B.Tech/B.E.,1,92,4.0,2025-07-11
IND2025052,Blockchain Developer,Deloitte,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,40.6,"Ethereum, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.,5,150,3.6,2025-04-13
IND2025053,AI Engineer,ONGC,PSU/Govt,FinTech,Remote,Remote,Junior (1-3 yrs),Internship,Remote,3.0,"LangChain, NLP, RAG, Prompt Engineering, OpenAI API",M.Tech/M.E.,15,766,4.3,2025-09-23
IND2025054,React Developer,InMobi,Startup,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,6.0,"Next.js, Redux, TypeScript, React, HTML/CSS",B.Tech/B.E.,1,113,3.9,2025-09-26
IND2025055,Node.js Developer,Infosys,MNC,Information Technology,Kochi,Tier 2,Lead (10+ yrs),Full-Time,Hybrid,67.0,"REST APIs, Node.js, JavaScript, TypeScript, MongoDB",B.Com + Certification,2,199,4.1,2025-07-03
IND2025056,Technical Lead,Freshworks,Indian Unicorn,Government/PSU,Coimbatore,Tier 2,Mid (3-6 yrs),Contract,Hybrid,18.8,"Microservices, Agile, Code Review, System Design, AWS",B.Tech/B.E.,20,1527,4.2,2024-09-10
IND2025057,Android Developer,Tech Mahindra,MNC,Information Technology,Bangalore,Tier 1,Lead (10+ yrs),Contract,On-Site,48.4,"Kotlin, Android SDK, Java",BCA,5,298,4.1,2024-10-07
IND2025058,Data Engineer,MakeMyTrip,Indian Unicorn,Information Technology,Remote,Remote,Senior (6-10 yrs),Internship,Hybrid,2.6,"SQL, dbt, Spark, Python",PhD,1,75,4.1,2024-06-27
IND2025059,MLOps Engineer,Tech Mahindra,MNC,E-Commerce,Pune,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,10.5,"Airflow, AWS, Kubernetes",B.Tech/B.E.,1,106,4.2,2026-02-20
IND2025060,Business Analyst,Flipkart,Indian Unicorn,Manufacturing,Hyderabad,Tier 1,Senior (6-10 yrs),Full-Time,On-Site,42.6,"Power BI, Agile, Excel",M.Tech/M.E.,1,96,3.9,2024-08-07
IND2025061,UI/UX Designer,Ola,Indian Unicorn,Information Technology,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,21.6,"Wireframing, CSS, Adobe XD, Prototyping",BCA,5,395,4.0,2025-05-14
IND2025062,Frontend Developer,Tech Mahindra,MNC,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,20.8,"Figma, JavaScript, Next.js, React, TypeScript",M.Tech/M.E.,3,299,3.7,2025-12-28
IND2025063,React Developer,HAL,PSU/Govt,EdTech,Remote,Remote,Lead (10+ yrs),Full-Time,On-Site,23.3,"JavaScript, React, TypeScript, Redux, HTML/CSS, Next.js",B.Tech/B.E.,3,325,4.2,2025-03-13
IND2025064,Research Scientist,Setu,Startup,Information Technology,Remote,Remote,Fresher (0-1 yr),Contract,Remote,6.3,"Deep Learning, PyTorch, Python, R, Publications",B.Tech/B.E.,3,116,4.1,2026-01-01
IND2025065,Research Scientist,Capgemini,MNC,FinTech,Hyderabad,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,21.5,"Python, R, Statistics",B.Com + Certification,1,41,3.7,2026-02-23
IND2025066,Cloud Engineer,InMobi,Startup,Manufacturing,Chennai,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,4.9,"AWS, Azure, Terraform, Linux, Docker",M.Tech/M.E.,2,120,3.2,2024-12-27
IND2025067,Backend Developer,TCS,MNC,E-Commerce,Hyderabad,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,5.8,"Python, MongoDB, Redis, PostgreSQL, Node.js",B.Sc (CS/IT),1,115,4.2,2025-08-21
IND2025068,MLOps Engineer,Freshworks,Indian Unicorn,Consulting,Chandigarh,Tier 2,Fresher (0-1 yr),Full-Time,On-Site,6.8,"Docker, Airflow, CI/CD, Kubernetes, Python",BCA,2,81,4.2,2026-01-25
IND2025069,Blockchain Developer,Amazon,MNC,Banking & Finance,Chennai,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,23.8,"Ethereum, Python, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.,1,52,4.1,2024-12-20
IND2025070,Data Analyst,BEL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.7,"Data Visualization, Statistics, Power BI, Excel, Tableau",BCA,2,194,4.1,2024-08-09
IND2025071,MLOps Engineer,Paytm,Indian Unicorn,HealthTech,Hyderabad,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,7.5,"AWS, CI/CD, Python",B.Com + Certification,2,183,4.1,2025-06-29
IND2025072,Node.js Developer,Zoho,Indian Unicorn,Information Technology,Jaipur,Tier 2,Junior (1-3 yrs),Full-Time,On-Site,8.5,"TypeScript, Node.js, Express.js, JavaScript, MongoDB",B.Tech/B.E.,20,1786,3.9,2025-08-23
IND2025073,Full Stack Developer,HAL,PSU/Govt,FinTech,Delhi,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,12.7,"PostgreSQL, Python, Docker, REST APIs, Node.js, MongoDB",B.Tech/B.E.,3,153,3.6,2024-08-23
IND2025074,Research Scientist,InMobi,Startup,Banking & Finance,Pune,Tier 1,Lead (10+ yrs),Full-Time,On-Site,82.0,"Statistics, PyTorch, NLP",B.Sc (CS/IT),2,151,3.3,2025-11-03
IND2025075,Software Engineer,BEL,PSU/Govt,E-Commerce,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,4.2,"System Design, Git, Algorithms",M.Tech/M.E.,3,159,3.3,2024-10-13
IND2025076,QA Engineer,Khatabook,Startup,Logistics,Hyderabad,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,6.5,"Python, API Testing, Manual Testing, Postman, JIRA, Selenium",BCA,3,278,3.7,2025-06-12
IND2025077,Python Developer,BrowserStack,Startup,Information Technology,Mumbai,Tier 1,Senior (6-10 yrs),Internship,On-Site,1.0,"PostgreSQL, Python, AWS, Docker, Django",BCA,1,114,3.2,2024-11-12
IND2025078,Cloud Engineer,BHEL,PSU/Govt,FinTech,Remote,Remote,Lead (10+ yrs),Full-Time,On-Site,23.3,"GCP, Azure, AWS",B.Tech/B.E.,10,1103,4.0,2025-04-23
IND2025079,Python Developer,Tech Mahindra,MNC,E-Commerce,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,14.8,"Python, FastAPI, Django",B.Tech/B.E.,2,206,3.8,2024-11-01
IND2025080,Machine Learning Engineer,Tech Mahindra,MNC,Information Technology,Mumbai,Tier 1,Junior (1-3 yrs),Internship,Hybrid,1.6,"Scikit-learn, Docker, TensorFlow",MBA,3,191,3.7,2024-06-02
IND2025081,iOS Developer,Accenture,MNC,Information Technology,Chennai,Tier 1,Mid (3-6 yrs),Internship,Hybrid,1.5,"Core Data, REST APIs, Xcode",B.Sc (CS/IT),2,76,3.4,2024-06-17
IND2025082,Android Developer,Deloitte,MNC,HealthTech,Indore,Tier 2,Fresher (0-1 yr),Full-Time,On-Site,4.8,"Firebase, Jetpack Compose, Java, Kotlin, Android SDK, REST APIs",B.Sc (CS/IT),1,32,3.3,2024-07-08
IND2025083,Data Analyst,HAL,PSU/Govt,FinTech,Remote,Remote,Junior (1-3 yrs),Internship,On-Site,2.8,"Power BI, SQL, Data Visualization, Tableau, Excel",MCA,2,114,4.0,2025-07-01
IND2025084,Full Stack Developer,Lenskart,Startup,EdTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.4,"Docker, REST APIs, Python",B.Tech/B.E.,2,205,3.2,2025-04-10
IND2025085,Cybersecurity Analyst,Freshworks,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,22.2,"Ethical Hacking, SIEM, Python, Network Security, Penetration Testing",B.Tech/B.E.,5,501,3.7,2024-10-25
IND2025086,AI Engineer,Microsoft,MNC,E-Commerce,Hyderabad,Tier 1,Lead (10+ yrs),Full-Time,On-Site,71.4,"LLMs, OpenAI API, NLP, Prompt Engineering, LangChain, Vector DBs",B.Tech/B.E.,3,194,3.1,2025-04-18
IND2025087,UI/UX Designer,Meesho,Indian Unicorn,Retail,Remote,Remote,Junior (1-3 yrs),Full-Time,Hybrid,13.3,"Adobe XD, Figma, CSS, Prototyping, Wireframing, User Research",B.Tech/B.E.,20,2172,4.3,2025-08-30
IND2025088,Power BI Developer,Chargebee,Startup,Manufacturing,Chennai,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,13.7,"Azure, SQL, Data Modeling, DAX",MCA,20,2149,3.4,2024-10-03
IND2025089,Product Manager,Ola,Indian Unicorn,FinTech,Chennai,Tier 1,Fresher (0-1 yr),Contract,On-Site,7.2,"User Research, SQL, Roadmapping, Product Strategy, A/B Testing, Agile",MCA,1,84,3.8,2026-03-20
IND2025090,AI Engineer,BrowserStack,Startup,Gaming,Kolkata,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,36.9,"OpenAI API, LLMs, Prompt Engineering, LangChain",B.Sc (CS/IT),2,232,4.2,2025-01-17
IND2025091,React Developer,Microsoft,MNC,E-Commerce,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,5.5,"JavaScript, Next.js, TypeScript, Redux",B.Tech/B.E.,5,142,2.9,2024-07-13
IND2025092,Android Developer,Byju's,Indian Unicorn,HealthTech,Chennai,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,14.2,"Jetpack Compose, Java, Firebase, REST APIs, Android SDK",B.Tech/B.E.,3,160,3.7,2024-08-14
IND2025093,Cybersecurity Analyst,Wipro,MNC,FinTech,Pune,Tier 1,Junior (1-3 yrs),Part-Time,On-Site,9.9,"Python, Network Security, Penetration Testing, Ethical Hacking, SIEM",MCA,1,64,3.1,2024-10-04
IND2025094,Frontend Developer,Ola,Indian Unicorn,Information Technology,Mumbai,Tier 1,Senior (6-10 yrs),Contract,Hybrid,51.3,"HTML/CSS, TypeScript, Figma, React, Next.js, JavaScript",B.Tech/B.E.,2,127,3.9,2025-10-31
IND2025095,Data Analyst,Deloitte,MNC,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,On-Site,9.6,"Data Visualization, Tableau, Power BI, SQL, Excel",B.Tech/B.E.,3,174,3.8,2024-07-23
IND2025096,Data Analyst,Zoho,Indian Unicorn,FinTech,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,24.3,"Python, Power BI, Excel, Data Visualization, Statistics",MCA,2,63,2.9,2025-11-04
IND2025097,UI/UX Designer,BrowserStack,Startup,FinTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,37.4,"Prototyping, User Research, Wireframing, CSS, Adobe XD",B.Tech/B.E.,5,382,4.0,2025-09-30
IND2025098,Power BI Developer,Zoho,Indian Unicorn,Automobile,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,17.0,"ETL, Power BI, Data Modeling, Excel",M.Tech/M.E.,2,206,4.1,2024-11-22
IND2025099,DevOps Engineer,Zerodha,Startup,Information Technology,Pune,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,4.8,"Ansible, CI/CD, Linux, Docker, Kubernetes, Jenkins",MCA,3,358,3.7,2024-12-30
IND2025100,DevOps Engineer,BEL,PSU/Govt,Manufacturing,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,8.8,"Ansible, Kubernetes, CI/CD, Jenkins, Terraform",B.Sc (CS/IT),15,1778,4.1,2025-01-17
IND2025101,QA Engineer,Postman,Startup,Information Technology,Delhi,Tier 1,Mid (3-6 yrs),Contract,Hybrid,22.1,"Postman, JIRA, Python, Manual Testing, Selenium, API Testing",M.Tech/M.E.,2,165,3.4,2024-08-20
IND2025102,Product Manager,Capgemini,MNC,EdTech,Chennai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,16.6,"Roadmapping, Agile, Product Strategy, User Research",B.Tech/B.E.,2,170,4.0,2025-07-29
IND2025103,AI Engineer,BSNL,PSU/Govt,FinTech,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,13.2,"RAG, OpenAI API, Vector DBs",BCA,10,558,4.2,2024-07-09
IND2025104,Software Engineer,HAL,PSU/Govt,Gaming,Remote,Remote,Lead (10+ yrs),Part-Time,Remote,28.7,"System Design, C++, Data Structures",B.Tech/B.E.,2,173,4.2,2026-03-19
IND2025105,React Developer,Swiggy,Indian Unicorn,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,6.6,"Next.js, JavaScript, HTML/CSS, TypeScript, Redux",MCA,2,84,4.0,2025-08-12
IND2025106,Software Engineer,Accenture,MNC,Logistics,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,9.2,"Algorithms, System Design, C++",B.Tech/B.E.,1,47,3.5,2025-01-28
IND2025107,DevOps Engineer,Nykaa,Indian Unicorn,FinTech,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,27.3,"Ansible, Kubernetes, AWS, Terraform",B.Tech/B.E.,2,182,3.7,2025-06-18
IND2025108,Business Analyst,Zerodha,Startup,Manufacturing,Bhubaneswar,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,34.1,"SQL, Agile, Excel",B.Tech/B.E.,2,108,4.2,2026-01-08
IND2025109,Cloud Engineer,Chargebee,Startup,Information Technology,Ahmedabad,Tier 2,Senior (6-10 yrs),Full-Time,On-Site,30.3,"Docker, Terraform, GCP",M.Tech/M.E.,2,217,4.1,2024-06-23
IND2025110,MLOps Engineer,Accenture,MNC,Government/PSU,Nagpur,Tier 2,Lead (10+ yrs),Contract,On-Site,59.5,"Kubernetes, CI/CD, Airflow, MLflow, Python, AWS",B.Tech/B.E.,2,201,4.0,2025-06-22
IND2025111,Business Analyst,Urban Company,Startup,Consulting,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,9.3,"Requirements Gathering, Agile, JIRA, Power BI, Excel",MCA,1,74,3.4,2025-01-22
IND2025112,Technical Lead,Fi Money,Startup,Information Technology,Remote,Remote,Junior (1-3 yrs),Internship,Remote,2.4,"Code Review, System Design, Agile",B.Tech/B.E.,1,33,3.7,2024-07-20
IND2025113,Business Analyst,Leadsquared,Startup,EdTech,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,73.0,"Excel, Power BI, JIRA, Agile, SQL",M.Tech/M.E.,2,74,4.3,2025-07-29
IND2025114,React Developer,HAL,PSU/Govt,Banking & Finance,Lucknow,Tier 2,Lead (10+ yrs),Part-Time,Hybrid,25.4,"Redux, JavaScript, TypeScript, Next.js, React, HTML/CSS",B.Tech/B.E.,5,350,4.0,2025-02-02
IND2025115,Java Developer,HAL,PSU/Govt,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,On-Site,7.9,"Java, Maven, Spring Boot, SQL, REST APIs",M.Tech/M.E.,3,285,4.2,2025-06-22
IND2025116,Software Engineer,Chargebee,Startup,Logistics,Jaipur,Tier 2,Mid (3-6 yrs),Contract,On-Site,24.2,"Python, System Design, Data Structures, REST APIs",B.Tech/B.E.,3,236,3.4,2026-02-09
IND2025117,Full Stack Developer,Cognizant,MNC,E-Commerce,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,8.2,"Docker, Node.js, Python, REST APIs, MongoDB, React",B.Sc (CS/IT),5,521,2.7,2025-12-29
IND2025118,Data Engineer,Freshworks,Indian Unicorn,Information Technology,Mumbai,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,8.7,"SQL, dbt, Airflow, AWS, ETL",M.Tech/M.E.,3,225,3.2,2024-11-20
